id,name,website,address,phone,twitter,x,y,city
1,290 West,http://www.austinlivemusic.com/venues.aspx?VenueName=290%20West%20Club,12013 W Highway 290- Austin- TX 78737,(512) 288-0808,,-97.968833,30.210618,Austin
2,Abel's on the Lake,http://abels.com/lake/,3825 Lake Austin Blvd- Austin- TX 78703,(512) 904-0570,,-97.784398,30.295245,test
3,ACL live at Moody Gardens Theater,http://acl-live.com/,310 Willie Nelson Blvd Austin- Texas 78701,(512)225-7999,@acllive,-97.747295,30.26536,test
4,Amaya's Taco Village,http://www.amayastacovillage.com/,5804 IH-35 Austin TX 78751,512-458-2531,@amaystacovilla,-97.765069,30.197938,
5,Amped Austin,http://www.ampedaustin.com,300 E 6th St- Austin- TX 78701,(512) 669-3897,@ampedaustin,-97.740155,30.267582,
6,Anderson Mill Tavern,http://andersonmilltavern.com,10401 Anderson Mill Rd- Austin- TX 78750,(512) 918-1599,@andersonmilltav,-97.805751,30.446344,
7,Auditorium Shores,http://www.austintexas.gov/department/parks-and-recreation,800 W Riverside Dr- Austin- TX 78704,(512) 974-6700,,-97.751583,30.262517,
8,Austin 360 Amiptheater,http://austin360amphitheater.com/,9201 Circuit of the Americas Blvd- Del Valle- TX 78617,(512) 301-6600,@austin360amp,-97.638429,30.134165,
9,Austin Beer Garden Brewing Co.,http://theabgb.com/,1305 W Oltorf St- Austin- TX 78704,(512) 298-2242,@theabgb,-97.769013,30.245181,
10,Austin Beerworks,http://austinbeerworks.com/,3009 Industrial Terrace- Austin- TX 78758,(512) 821-2494,@austinbeerworks,-97.729345,30.379837,
11,Austin Music Hall,http://musichallaustin.com/,208 Nueces St- Austin- TX 78701,(512) 298-1777,@austinmusichall,-97.750107,30.266725,
12,B.D  Riley's Irish Pub,http://bdrileys.com/,204 E 6th St- Austin- TX 78701,(512) 494-1335,@bdrileysaustin,-97.741169,30.26772,
13,Baby Acapulco - IH 35,,5610 N Interstate 35 Austin- TX 78751,,@babyacapulco,-97.708399,30.316206,
14,Baby Acapulco - Stone Lake,, 9505 Stonelake Blvd- Austin- TX 78759 ,,@babyacapulco,-97.737695,30.386681,
15,Baker St. Pub & Grill,http://bakerstreetpub.com/,3003 S Lamar Blvd- Austin- TX 78704,(512) 691-9140,,-97.783289,30.242279,
16,Bass Concert Hall,http://texasperformingarts.org/venues/bass_concert_hall,2350 Robert Dedman Dr- Austin- TX 78712,(512) 471-2787,@tpapresents,-97.731239,30.286158,
17,Bat Bar,http://batbaraustin.com/,218 E 6th St- Austin- TX 78701,(512) 474-6363,@batbaraustin,-97.740574,30.267741,
18,BB Rovers,http://bbrovers.com/wp/,12171 Jollyville Rd. Austin TX,512-335-9504,@bbroversaustin,-97.764953,30.430489,
19,Beerland,http://beerlandtexas.com/,711 Red River St- Austin- TX 78701,(512) 479-7625,@beerlandtexas,-97.736477,30.26775,
20,Black Sheep Lodge,com/,2108 S Lamar Blvd- Austin- TX 78704,(512) 707-2744,,-97.771128,30.248391,
21,Blanton Museum of Art,http://www.blantonmuseum.org/,200 East Martin Luther King Junior Boulevard- Austin- TX 78712,(512) 471-7324,@blantonmuseum,-97.737531,30.280986,
22,Blind Pig Pub,blind-pig-,317 E 6th St- Austin- TX 78701,(512) 472-0809,@theblindpigpub,-97.73987,30.266938,
23,Blue Moon Rock & Jazz Bar,http://bluemoonbarngrill.weebly.com/,2200 S IH 35 Frontage Rd- Austin- TX 78704,(512) 916-9951,,-97.741479,30.235251,
24,Boat House Grill,http://www.boathousegrill.com/,6812 Ranch Rd 620 N- Austin- TX 78730,(512) 249-5200,@boathouseatx,-97.855065,30.401721,
25,Botticelli's,http://www.botticellissouthcongress.com/,1321 S Congress Ave- Austin- TX 78704,(512) 916-1315,,-97.749123,30.25035,
26,Brass House Austin,http://www.brasshouseaustin.net/,115 San Jacinto Blvd- Austin- TX 78701,(512) 296-2188,@atxbrasshouse,-97.74167,30.263348,
27,Broken Spoke,http://www.brokenspokeaustintx.com/,3201 S Lamar Blvd- Austin- TX 78704,(512) 442-6189,,-97.785189,30.240885,
28,Buddy's Place,http://www.buddysplaceatx.com/,8619 Burnet Rd- Austin- TX 78757,(512) 459-4677,,-97.727168,30.368958,
29,Buffalo Billiards,http://buffalobilliardsaustin.com/,201 E 6th St- Austin- TX 78701,(512) 479-7665,@buffaloatx,-97.741314,30.267344,
30,Bungalow,,92 Rainey St- Austin- TX 78701,(512) 363-5475,,-97.738351,30.260519,
31,Butterfly Lounge @ Vortex Theater,http://butterflybaraustin.com/build/,2307 Manor Rd- Austin- TX 78722,(512) 478-5282,@butterflylounge,-97.71765,30.284358,
32,Buzz Mill,http://buzzmillcoffee.com/,1505 Town Creek Dr- Austin- TX 78741,(512) 912-9221,@buzzmillcoffee,-97.726866,30.241702,
33,Cactus Cafe,http://cactuscafe.org/,2247 Guadalupe St - Austin - TX 78712, (512)475-6515, @cactuscafeatx,-97.741257,30.28608,
34,Carousel Lounge,http://www.carousellounge.net/,1110 E 52nd St- Austin- TX 78723,(512) 452-6790,,-97.70819,30.309881,
