id,animalid,address,y,x,location,date,type,breed,color,sex,age,image
1,A732125,1601 E SLAUGHTERAUSTIN 78747,30.152727,-97.768646,Yes (come to the shelter),8/2/16,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,3 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732125&LOCATION=ASTN
2,A732107,4900 MUELLER BLVDAUSTIN 78723,30.303114,-97.70459,Yes (come to the shelter),8/2/16,Cat,Domestic Shorthair Mix,Torbie,Intact Female,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732107&LOCATION=ASTN
3,A732129,5220 JIM HOGG AVEAUSTIN 78756,30.324598,-97.738672,No (contact for more info),8/2/16,Dog,Border Terrier Mix,White/Black,Spayed Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732129&LOCATION=ASTN
4,A732220,124 W ANDERSON LNAUSTIN 78752,30.344309,-97.705485,Yes (come to the shelter),8/4/16,Dog,Border Collie/Akita,Black/White,Intact Male,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732220&LOCATION=ASTN
5,A732265,7844 BURNET RDAUSTIN 78757,30.356026,-97.730948,Yes (come to the shelter),8/4/16,Dog,Chow Chow Mix,Gold,Spayed Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732265&LOCATION=ASTN
6,A732317,13401 METRIC BLVDAUSTIN 78727,30.423684,-97.680496,Yes (come to the shelter),8/5/16,Dog,Anatolian Shepherd Mix,Black/Tan,Unknown,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732317&LOCATION=ASTN
7,A732352,3504 TAYLOR FALLS DR78660,30.456192,-97.571825,Yes (come to the shelter),8/6/16,Dog,Boxer Mix,Brown,Neutered Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732352&LOCATION=ASTN
8,A732338,2606 ENFIELD ROADAUSTIN 78703,30.290411,-97.77177,No (contact for more info),8/6/16,Cat,Domestic Shorthair Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732338&LOCATION=ASTN
9,A732440,23808 ELM DRIVE78654,30.470651,-98.036101,Yes (come to the shelter),8/7/16,Dog,Rottweiler Mix,Black/Brown,Intact Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732440&LOCATION=ASTN
10,A732436,625 E STASSNEY LNAUSTIN 78745,30.20121,-97.769676,No (contact for more info),8/7/16,Cat,Domestic Longhair Mix,Brown Tabby,Unknown,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732436&LOCATION=ASTN
11,A732411,15134 SARAHS CREEK DRPFLUGERVILLE 78660,30.443395,-97.655642,No (contact for more info),8/7/16,Cat,Domestic Shorthair Mix,Blue Tabby,Unknown,3 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732411&LOCATION=ASTN
12,A732349,1602 CITATION DRDEL VALLE 78617,30.220424,-97.52055,No (contact for more info),8/6/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732349&LOCATION=ASTN
13,A732136,2322 E 2NDAUSTIN 78702,30.255819,-97.717908,Yes (come to the shelter),8/3/16,Cat,Domestic Shorthair Mix,Black/White,Intact Male,5 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732136&LOCATION=ASTN
14,A732149,12309 TWIN CREEKS RDAUSTIN 78652,30.135955,-97.828459,Yes (come to the shelter),8/3/16,Dog,Chihuahua Shorthair Mix,Brown Brindle,Neutered Male,5 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732149&LOCATION=ASTN
15,A732169,3201 JACK COOK DRAIDE A AUSTIN 78723,30.30872,-97.672559,Yes (come to the shelter),8/3/16,Dog,Cairn Terrier Mix,White,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732169&LOCATION=ASTN
16,A618774,6504 VIRGO LNAUSTIN 78724,30.29731,-97.645611,Yes (come to the shelter),8/3/16,Dog,Dachshund Mix,Black/Brown,Neutered Male,6 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A618774&LOCATION=ASTN
